Brand,Year,Configuration,Strings,Made in,Type,Body Shape,Body Material,Neck Joint,Neck Material,Neck Profile,Scale Size,Frets,Fretboard Material,Number of Frets,Fretboard Radius,Stainless Steel Frets,Nut,Nut Width,Switch,Knobs,Volume Controls,Tone Controls,Top Pickup Brand,Pickups Power,Locking Tuners,Bridge Type,Tremolo,Price
0,12,1,1,4,2,14,1,0,2,1,6,0,6,3,5,0,9,11,3,0,1,1,1,6,1,9,1,993.62
20,9,1,1,2,2,14,1,2,2,1,6,7,1,3,7,1,11,13,3,1,1,1,1,6,1,6,1,1060.0366666666666
20,11,1,1,2,2,14,6,1,2,1,6,7,1,3,7,1,7,13,3,1,1,1,1,6,1,5,0,909.49
20,12,1,2,2,2,14,6,1,2,1,8,7,1,3,10,1,7,18,3,1,1,1,1,6,1,4,0,1120.98
20,11,1,2,2,2,14,6,1,2,1,8,7,1,3,10,1,7,18,3,1,1,1,1,6,1,4,0,1331.89
12,11,8,1,3,2,14,6,0,2,7,6,0,1,3,13,0,11,13,3,1,1,1,1,8,0,8,1,1927.5260000000003
20,12,1,1,2,2,14,6,0,2,1,6,7,6,3,7,1,7,13,1,1,1,1,1,6,1,4,0,841.5
20,12,1,1,2,2,14,6,0,2,1,6,7,1,3,7,1,11,13,3,1,1,1,1,6,1,6,1,879.24
5,14,0,1,2,2,9,6,1,1,8,4,7,1,3,7,1,11,12,0,1,1,0,1,0,0,6,1,1426.92
12,11,9,1,2,2,14,3,0,2,1,6,0,6,2,4,1,9,12,3,2,1,1,1,8,1,9,1,1377.2424999999998
5,14,9,1,2,2,14,1,0,2,8,6,7,1,2,5,1,1,12,3,1,1,1,1,8,0,4,0,1453.5
18,11,1,1,5,2,7,2,2,2,1,4,7,1,2,5,1,0,12,1,1,2,1,1,6,1,5,0,1124.994
